Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[74]         Jan 01 2024 00:01:07.089843750   Jan 01 2024 00:02:20.039062500       1.215820313
GroundStation1 --> scFormation[73]         Jan 01 2024 00:04:12.441406250   Jan 01 2024 00:05:51.855468750       1.656901042
GroundStation1 --> scFormation[72]         Jan 01 2024 00:07:21.210937500   Jan 01 2024 00:09:20.253906250       1.984049479
GroundStation1 --> scFormation[71]         Jan 01 2024 00:10:32.031250000   Jan 01 2024 00:12:46.796875000       2.246093750
GroundStation1 --> scFormation[70]         Jan 01 2024 00:13:44.121093750   Jan 01 2024 00:16:12.070312500       2.465820313
GroundStation1 --> scFormation[104]        Jan 01 2024 00:16:57.187500000   Jan 01 2024 00:19:36.367187500       2.652994792
GroundStation1 --> scFormation[103]        Jan 01 2024 00:20:11.132812500   Jan 01 2024 00:22:59.980468750       2.814127604
GroundStation1 --> scFormation[102]        Jan 01 2024 00:23:25.664062500   Jan 01 2024 00:26:23.105468750       2.957356771
GroundStation1 --> scFormation[101]        Jan 01 2024 00:26:40.878906250   Jan 01 2024 00:29:45.644531250       3.079427083
GroundStation1 --> scFormation[100]        Jan 01 2024 00:29:56.386718750   Jan 01 2024 00:33:07.792968750       3.190104167
GroundStation1 --> scFormation[99]         Jan 01 2024 00:33:12.480468750   Jan 01 2024 00:36:29.648437500       3.286132813
GroundStation1 --> scFormation[98]         Jan 01 2024 00:36:28.867187500   Jan 01 2024 00:39:51.210937500       3.372395833
GroundStation1 --> scFormation[97]         Jan 01 2024 00:39:45.644531250   Jan 01 2024 00:43:12.480468750       3.447265625
GroundStation1 --> scFormation[96]         Jan 01 2024 00:43:02.617187500   Jan 01 2024 00:46:33.554687500       3.515625000
GroundStation1 --> scFormation[95]         Jan 01 2024 00:46:19.980468750   Jan 01 2024 00:49:54.335937500       3.572591146
GroundStation1 --> scFormation[94]         Jan 01 2024 00:49:37.636718750   Jan 01 2024 00:53:15.019531250       3.623046875
GroundStation1 --> scFormation[93]         Jan 01 2024 00:52:55.390625000   Jan 01 2024 00:56:35.507812500       3.668619792
GroundStation1 --> scFormation[92]         Jan 01 2024 00:56:13.535156250   Jan 01 2024 00:59:55.800781250       3.704427083
GroundStation1 --> scFormation[91]         Jan 01 2024 00:59:31.777343750   Jan 01 2024 01:03:16.093750000       3.738606771
GroundStation1 --> scFormation[90]         Jan 01 2024 01:02:50.214843750   Jan 01 2024 01:06:36.191406250       3.766276042
GroundStation1 --> scFormation[89]         Jan 01 2024 01:06:08.847656250   Jan 01 2024 01:09:56.093750000       3.787434896
GroundStation1 --> scFormation[88]         Jan 01 2024 01:09:27.578125000   Jan 01 2024 01:13:15.996093750       3.806966146
GroundStation1 --> scFormation[87]         Jan 01 2024 01:12:46.503906250   Jan 01 2024 01:16:35.800781250       3.821614583
GroundStation1 --> scFormation[86]         Jan 01 2024 01:16:05.625000000   Jan 01 2024 01:19:55.605468750       3.833007813
GroundStation1 --> scFormation[85]         Jan 01 2024 01:19:24.843750000   Jan 01 2024 01:23:15.214843750       3.839518229
GroundStation1 --> scFormation[84]         Jan 01 2024 01:22:44.160156250   Jan 01 2024 01:26:34.824218750       3.844401042
GroundStation1 --> scFormation[83]         Jan 01 2024 01:26:03.574218750   Jan 01 2024 01:29:54.433593750       3.847656250
GroundStation1 --> scFormation[82]         Jan 01 2024 01:29:23.183593750   Jan 01 2024 01:33:13.945312500       3.846028646
GroundStation1 --> scFormation[81]         Jan 01 2024 01:32:42.792968750   Jan 01 2024 01:36:33.359375000       3.842773438
GroundStation1 --> scFormation[80]         Jan 01 2024 01:36:02.500000000   Jan 01 2024 01:39:52.871093750       3.839518229
GroundStation1 --> scFormation[79]         Jan 01 2024 01:39:22.304687500   Jan 01 2024 01:43:12.285156250       3.833007813
GroundStation1 --> scFormation[78]         Jan 01 2024 01:42:42.109375000   Jan 01 2024 01:46:31.699218750       3.826497396
GroundStation1 --> scFormation[77]         Jan 01 2024 01:46:02.109375000   Jan 01 2024 01:49:51.113281250       3.816731771
GroundStation1 --> scFormation[76]         Jan 01 2024 01:49:22.011718750   Jan 01 2024 01:53:10.429687500       3.806966146
GroundStation1 --> scFormation[75]         Jan 01 2024 01:52:42.109375000   Jan 01 2024 01:56:29.843750000       3.795572917
GroundStation1 --> scFormation[74]         Jan 01 2024 01:56:02.109375000   Jan 01 2024 01:59:49.257812500       3.785807292
GroundStation1 --> scFormation[73]         Jan 01 2024 01:59:22.207031250   Jan 01 2024 02:03:08.671875000       3.774414063
GroundStation1 --> scFormation[72]         Jan 01 2024 02:02:42.304687500   Jan 01 2024 02:06:28.085937500       3.763020833
