
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
       88.000000000              2904.000000000
       89.000000000              2904.000000000
       83.000000000              2904.000000000
       91.000000000              2904.000000000
       83.000000000              2904.000000000
       94.000000000              2904.000000000
       79.000000000              2904.000000000
       94.000000000              2904.000000000
       81.000000000              2904.000000000
       94.000000000              2904.000000000
       80.000000000              2904.000000000
       95.000000000              2904.000000000
       82.000000000              2904.000000000
       96.000000000              2904.000000000
       88.000000000              2904.000000000
       94.000000000              2904.000000000
       88.000000000              2904.000000000
       90.000000000              2904.000000000
       90.000000000              2904.000000000
       86.000000000              2904.000000000
       94.000000000              2904.000000000
       82.000000000              2904.000000000
       94.000000000              2904.000000000
       84.000000000              2904.000000000
       97.000000000              2904.000000000
       86.000000000              2904.000000000
       94.000000000              2904.000000000
       80.000000000              2904.000000000
       92.000000000              2904.000000000
       79.000000000              2904.000000000
       93.000000000              2904.000000000
       85.000000000              2904.000000000
       92.000000000              2904.000000000
       86.000000000              2904.000000000
       90.000000000              2904.000000000
       86.000000000              2904.000000000
       90.000000000              2904.000000000
       92.000000000              2904.000000000
       87.000000000              2904.000000000
       92.000000000              2904.000000000
       82.000000000              2904.000000000
       96.000000000              2904.000000000
       85.000000000              2904.000000000
       95.000000000              2904.000000000
       83.000000000              2904.000000000
       96.000000000              2904.000000000
       80.000000000              2904.000000000
       93.000000000              2904.000000000
       84.000000000              2904.000000000
       90.000000000              2904.000000000
       86.000000000              2904.000000000
       89.000000000              2904.000000000
       90.000000000              2904.000000000
       90.000000000              2904.000000000
       87.000000000              2904.000000000
       84.000000000              2904.000000000
       93.000000000              2904.000000000
       83.000000000              2904.000000000
       94.000000000              2904.000000000
       85.000000000              2904.000000000
       93.000000000              2904.000000000
       84.000000000              2904.000000000
       94.000000000              2904.000000000
       82.000000000              2904.000000000
       96.000000000              2904.000000000
       82.000000000              2904.000000000
       91.000000000              2904.000000000
       87.000000000              2904.000000000
       91.000000000              2904.000000000
       87.000000000              2904.000000000
       88.000000000              2904.000000000
       87.000000000              2904.000000000
       86.000000000              2904.000000000
       93.000000000              2904.000000000
       82.000000000              2904.000000000
       93.000000000              2904.000000000
       84.000000000              2904.000000000
       95.000000000              2904.000000000
       84.000000000              2904.000000000
       97.000000000              2904.000000000
       78.000000000              2904.000000000
       95.000000000              2904.000000000
       80.000000000              2904.000000000
       92.000000000              2904.000000000
       87.000000000              2904.000000000
       93.000000000              2904.000000000
       87.000000000              2904.000000000
       91.000000000              2904.000000000
       83.000000000              2904.000000000
       87.000000000              2904.000000000
       90.000000000              2904.000000000
       82.000000000              2904.000000000
       94.000000000              2904.000000000
       84.000000000              2904.000000000
       95.000000000              2904.000000000
       85.000000000              2904.000000000
       95.000000000              2904.000000000
       82.000000000              2904.000000000
       93.000000000              2904.000000000
       81.000000000              2904.000000000
       95.000000000              2904.000000000
       85.000000000              2904.000000000
       90.000000000              2904.000000000
       84.000000000              2904.000000000
       92.000000000              2904.000000000
       85.000000000              2904.000000000
       89.000000000              2904.000000000
       92.000000000              2904.000000000
       83.000000000              2904.000000000
       90.000000000              2904.000000000
       84.000000000              2904.000000000
       93.000000000              2904.000000000
       85.000000000              2904.000000000
       95.000000000              2904.000000000
       84.000000000              2904.000000000
       96.000000000              2904.000000000
       81.000000000              2904.000000000
       95.000000000              2904.000000000
       85.000000000              2904.000000000
       92.000000000              2904.000000000
       89.000000000              2904.000000000
       90.000000000              2904.000000000
       89.000000000              2904.000000000
       89.000000000              2904.000000000
       91.000000000              2904.000000000
       82.000000000              2904.000000000
       94.000000000              2904.000000000
       85.000000000              2904.000000000
       92.000000000              2904.000000000
       81.000000000              2904.000000000
       95.000000000              2904.000000000
       80.000000000              2904.000000000
       95.000000000              2904.000000000
       82.000000000              2904.000000000
       96.000000000              2904.000000000
       83.000000000              2904.000000000
       92.000000000              2904.000000000
       86.000000000              2904.000000000
       93.000000000              2904.000000000
       90.000000000              2904.000000000
       90.000000000              2904.000000000
       88.000000000              2904.000000000
       90.000000000              2904.000000000
       93.000000000              2904.000000000
       85.000000000              2904.000000000
       94.000000000              2904.000000000
       84.000000000              2904.000000000
       96.000000000              2904.000000000
